date_sign_up,customer_id,product_name,marketing_channel,City
4/14/18 15:56,218925,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/18 16:14,218968,Classic - 3 meals per week for 4 people,Search Engine Marketing,San Francisco
4/14/18 16:18,218975,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/18 16:21,218976,3 Meals (vegetarian) for 2 people,Partnership Marketing,San Francisco
4/14/18 16:29,218984,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/18 16:22,218986,3 Meals (vegetarian) for 2 people,Newsletters (internal),San Francisco
4/14/18 16:29,219015,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/18 16:32,219020,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/18 16:33,219025,Classic - 3 meals per week for 4 people,Newsletters (internal),San Francisco
4/14/18 16:35,219029,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/18 17:00,219034,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/18 16:43,219043,Classic - 3 meals per week for 2 people,Partnership Marketing,San Francisco
4/14/18 16:47,219055,Classic - 3 meals per week for 4 people,Newsletters (internal),San Francisco
4/14/18 16:55,219075,Classic - 3 meals per week for 2 people,Search Engine Marketing,San Francisco
4/14/18 16:58,219080,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/18 17:01,219083,Classic - 3 meals per week for 4 people,TV / Radio Advertising,San Francisco
4/14/18 17:01,219086,Classic - 3 meals per week for 4 people,Newsletters (internal),San Francisco
4/14/18 17:05,219095,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/18 17:14,219102,Classic - 3 meals per week for 2 people,Search Engine Marketing,San Francisco
4/14/18 17:56,219134,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/18 17:27,219135,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/18 17:23,219136,Classic - 3 meals per week for 2 people,Search Engine Marketing,San Francisco
4/14/18 17:23,219137,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/18 17:26,219146,Classic - 3 meals per week for 2 people,TV / Radio Advertising,San Francisco
4/14/18 17:26,219149,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/18 17:29,219151,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/18 17:28,219152,Classic - 3 meals per week for 2 people,TV / Radio Advertising,San Francisco
4/14/18 17:44,219196,Classic - 3 meals per week for 2 people,TV / Radio Advertising,San Francisco
4/14/18 17:49,219208,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/18 18:11,219241,Classic - 3 meals per week for 2 people,TV / Radio Advertising,San Francisco
4/14/18 18:19,219263,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/18 18:28,219285,Classic - 3 meals per week for 2 people,TV / Radio Advertising,San Francisco
4/14/18 18:28,219286,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/18 18:31,219297,Classic - 3 meals per week for 4 people,Partnership Marketing,San Francisco
4/14/18 18:35,219304,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/18 18:40,219311,Classic - 3 meals per week for 2 people,TV / Radio Advertising,San Francisco
4/14/18 18:40,219321,Classic - 3 meals per week for 2 people,TV / Radio Advertising,San Francisco
4/14/18 18:42,219325,3 Meals (vegetarian) for 2 people,TV / Radio Advertising,San Francisco
4/14/18 18:44,219332,Classic - 3 meals per week for 2 people,TV / Radio Advertising,San Francisco
4/14/18 19:02,219345,Classic - 3 meals per week for 2 people,TV / Radio Advertising,San Francisco
4/14/18 18:53,219360,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/18 18:55,219367,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
4/14/18 18:56,219369,Classic - 3 meals per week for 2 people,TV / Radio Advertising,San Francisco
4/14/18 18:56,219371,Classic - 3 meals per week for 2 people,Newsletters (internal),San Francisco
